Name,10,11,12,13,14,15,16,17
Olivia Noah,373,160,151,0,0,0,0,0
Riley Jackson,31,0,0,7,0,0,0,0
Emma Aiden,45,8,0,0,0,0,0,0
Aria Lucas,0,0,0,0,0,0,0,0
Aaliyah Oliver,0,0,0,0,4,0,20,0
Amelia Caden,0,0,0,0,0,0,0,847
Layla Muhammad,29,0,0,0,0,0,319,225
Zoe Mason,0,0,0,0,0,0,0,497
Camilla Carter,0,0,0,0,0,0,0,397
Charlotte Jayden,0,0,0,0,0,306,17,1373
Mila Sebastian,0,0,0,0,0,0,95,46
Luna Michael,753,0,0,16,0,0,0,0
Avery Benjamin,0,0,0,0,8,0,52,190
Evelyn Logan,7,0,0,156,0,0,24,432
Lily Luca,0,0,0,0,0,0,0,0
Ella Alexander,0,0,0,0,0,0,0,0
Gianna Levi,0,88,0,42,15,0,0,73
Adalyn Josiah,0,0,0,0,0,0,151,208
Charlie Henry,0,0,0,4,0,0,558,177
Ellie Julian,2,0,0,0,0,0,248,2030
Scarlett Jacob,0,0,0,0,0,31,2073,112
Maya Asher,0,0,0,0,0,0,0,0
Abigail Wyatt,0,0,0,0,0,0,54,517
Madison William,0,0,0,0,0,0,0,0
Aubrey Owen,32,0,0,0,0,0,21,412
Emily Gabriel,0,0,0,0,0,0,881,3855
Kinsley Miles,0,0,0,0,0,0,0,422
Elena Lincoln,0,7,283,0,0,0,0,0
Paisley Ezra,0,0,0,0,0,0,0,0
Madelyn Isaiah,0,51,0,0,289,0,322,735
Aurora Luke,0,0,0,0,0,0,0,0
Peyton Cameron,0,0,7,0,0,0,0,0
Emilia Isaac,0,0,0,0,0,0,209,964
Hannah Carson,2367,202,833,557,0,0,0,7
Penelope Maverick,0,0,0,480,33,0,0,428
Lila Matthew,2168,259,0,0,0,0,263,72
Emery David,0,324,0,0,0,0,1138,718
Callie Adam,0,430,272,1832,53,7,523,292
Hazel Nicholas,282,0,548,0,0,306,270,0
Hailey Elias,180,31,564,368,0,45,0,0
Violet Kai,876,258,125,227,6,7,67,0
Elizabeth Nathan,0,805,826,394,476,12,433,146
Grace Eli,556,1417,0,0,19,1131,99,0
Anna Hudson,0,688,7,386,0,185,777,577
Mackenzie John,643,179,440,601,1179,4688,0,2670
Kaylee Zane,53,431,0,0,2284,361,587,25
Victoria Connor,30,0,88,0,1470,194,0,67
Natalie Ezekiel,0,209,326,0,1720,500,0,0
Raelynn Anthony,494,10,1332,383,0,0,0,0
Addison Joseph,0,238,564,0,0,8,5786,253
Stella Thomas,2273,0,0,59,472,0,636,71
Naomi Aaron,0,256,384,0,0,130,0,459
Lelani Christian,619,224,0,0,159,637,411,415
Isabelle Xavier,173,271,0,49,1302,812,550,864
Bella Nolan,419,12,1719,0,839,342,357,0
Liliana Easton,564,4,855,0,0,280,0,226
Kennedy Joshua,204,0,460,310,46,150,0,3181
Gabriella Dominic,2175,0,0,0,1404,0,693,195
Willow Roman,2023,0,0,0,0,584,142,1615
Lucy Dylan,252,62,723,962,9062,0,1259,90
Savannah Amir,1620,6,3955,243,682,462,17,0
Lillian Christopher,116,0,86,13,39,0,0,860
Sophie Theodore,488,0,77,0,0,0,0,0
Delilah Andrew,144,709,247,30,0,0,546,0
London Damian,10,0,729,477,52,0,37,13
