Email,TotalMinutesAsleep1,TotalMinutesAsleep2,TotalMinutesAsleep3,TotalMinutesAsleep4,TotalMinutesAsleep5,TotalMinutesAsleep6,TotalMinutesAsleep7
Mason.Zoe@stud.cs.pub.ro,327,384,412,340,700,304,360
Ian.Brooklyn@stud.cs.pub.ro,119,124,796,137,0,0,0
Lucy.Dylan@stud.cs.pub.ro,644,722,590,0,0,0,0
Lucas.Aria@stud.cs.pub.ro,750,398,475,296,166,0,0
Joshua.Kennedy@stud.cs.pub.ro,503,531,545,523,524,437,498
Alexander.Ella@stud.cs.pub.ro,61,0,0,0,0,0,0
Kennedy.Joshua@stud.cs.pub.ro,467,445,452,556,500,465,460
Sophie.Theodore@stud.cs.pub.ro,274,295,291,424,283,381,412
Layla.Muhammad@stud.cs.pub.ro,501,77,322,478,226,385,364
Zane.Kaylee@stud.cs.pub.ro,535,465,506,515,461,523,59
Olivia.Noah@stud.cs.pub.ro,499,426,619,99,329,421,442
Emily.Gabriel@stud.cs.pub.ro,429,370,441,337,462,98,388
Madison.William@stud.cs.pub.ro,126,103,171,115,123,0,0
Scarlett.Jacob@stud.cs.pub.ro,425,400,384,253,382,591,293
Caleb.Nova@stud.cs.pub.ro,441,455,357,377,651,350,520
Isaac.Emilia@stud.cs.pub.ro,419,432,477,392,406,549,527
Addison.Joseph@stud.cs.pub.ro,380,336,493,465,474,508,480
Hazel.Nicholas@stud.cs.pub.ro,235,423,391,0,0,0,0
Abigail.Wyatt@stud.cs.pub.ro,366,630,508,370,357,427,442
Violet.Kai@stud.cs.pub.ro,79,58,0,0,0,0,0
Eli.Grace@stud.cs.pub.ro,514,451,472,377,472,492,390
Logan.Evelyn@stud.cs.pub.ro,486,331,74,0,0,0,0
Ezra.Paisley@stud.cs.pub.ro,338,447,424,513,611,525,398
Ella.Alexander@stud.cs.pub.ro,458,531,486,363,528,391,339
Luca.Lily@stud.cs.pub.ro,722,486,475,700,332,468,488
,420,291,447,428,441,486,439
Audrey.Cooper@stud.cs.pub.ro,369,379,556,425,503,472,474
Thomas.Stella@stud.cs.pub.ro,465,531,370,488,523,354,506
Aaron.Naomi@stud.cs.pub.ro,360,405,433,411,377,437,467
Grace.Eli@stud.cs.pub.ro,322,219,355,533,573,398,484
Elena.Lincoln@stud.cs.pub.ro,631,503,347,354,360,343,399
Josiah.Adalyn@stud.cs.pub.ro,412,137,472,427,430,602,338
Hailey.Elias@stud.cs.pub.ro,327,527,400,472,340,374,507
,442,106,250,293,398,404,471
Eva.Santiago@stud.cs.pub.ro,355,471,485,398,508,474,417
Luna.Michael@stud.cs.pub.ro,363,421,171,354,364,355,126
Asher.Maya@stud.cs.pub.ro,285,421,296,442,492,412,394
Mila.Sebastian@stud.cs.pub.ro,452,363,545,336,412,478,514
Mateo.Mia@stud.cs.pub.ro,77,465,387,523,82,459,481
Emma.Aiden@stud.cs.pub.ro,441,520,555,498,98,478,515
Joseph.Addison@stud.cs.pub.ro,750,74,439,651,498,370,542
Muhammad.Layla@stud.cs.pub.ro,409,611,555,377,250,409,425
Elias.Hailey@stud.cs.pub.ro,439,277,547,388,511,426,364
Owen.Aubrey@stud.cs.pub.ro,450,602,445,439,631,467,543
Victoria.Connor@stud.cs.pub.ro,409,273,261,441,259,405,237
Stella.Thomas@stud.cs.pub.ro,441,409,126,429,436,439,274
Ryan.Nora@stud.cs.pub.ro,465,245,483,451,414,404,524
Melanie.Jameson@stud.cs.pub.ro,478,443,523,423,400,543,366
Xavier.Isabelle@stud.cs.pub.ro,412,123,436,457,405,338,337
William.Madison@stud.cs.pub.ro,354,465,414,405,441,492,449
,411,543,421,277,384,74,342
Noah.Olivia@stud.cs.pub.ro,379,392,552,436,339,331,631
Aurora.Luke@stud.cs.pub.ro,337,492,465,421,465,450,293
,520,503,492,469,286,329,622
Emery.David@stud.cs.pub.ro,465,381,523,525,412,457,422
Lila.Matthew@stud.cs.pub.ro,235,304,171,394,428,357,357
Jackson.Riley@stud.cs.pub.ro,353,433,465,420,503,401,354
David.Emery@stud.cs.pub.ro,457,408,401,433,506,213,421
Bella.Nolan@stud.cs.pub.ro,318,334,361,115,368,527,412
Isabelle.Xavier@stud.cs.pub.ro,357,619,441,350,499,556,483
Adalyn.Josiah@stud.cs.pub.ro,471,471,388,411,440,421,412
London.Damian@stud.cs.pub.ro,424,226,353,443,353,237,555
Raelynn.Anthony@stud.cs.pub.ro,245,384,323,366,503,543,525
Savannah.Amir@stud.cs.pub.ro,459,523,62,58,369,459,469
Kai.Violet@stud.cs.pub.ro,499,74,323,489,253,530,573
Ezekiel.Natalie@stud.cs.pub.ro,406,331,318,405,421,411,522
Lily.Luca@stud.cs.pub.ro,468,322,630,447,106,515,421
Easton.Liliana@stud.cs.pub.ro,461,442,469,472,368,388,336
Luke.Aurora@stud.cs.pub.ro,722,451,602,611,422,353,542
Gabriella.Dominic@stud.cs.pub.ro,460,443,59,325,681,455,527
Anthony.Raelynn@stud.cs.pub.ro,347,478,341,469,504,505,472
Makayla.Jonathan@stud.cs.pub.ro,354,412,323,471,451,463,171
Sebastian.Mila@stud.cs.pub.ro,506,531,237,573,388,384,451
,126,59,480,428,433,436,486
Nathan.Elizabeth@stud.cs.pub.ro,390,402,450,414,485,250,458
Alaina.Zion@stud.cs.pub.ro,499,388,115,469,327,502,441
Naomi.Aaron@stud.cs.pub.ro,235,435,527,475,293,123,508
Liliana.Easton@stud.cs.pub.ro,250,555,361,426,700,381,603
Gabriel.Emily@stud.cs.pub.ro,514,370,529,137,425,424,520
Julian.Ellie@stud.cs.pub.ro,520,433,421,722,469,331,511
Samuel.Sarah@stud.cs.pub.ro,412,531,515,533,516,529,439
Connor.Victoria@stud.cs.pub.ro,370,253,436,502,219,452,398
Landon.Skyler@stud.cs.pub.ro,274,424,428,262,507,446,508
Aubrey.Owen@stud.cs.pub.ro,384,490,409,520,535,310,415
,459,442,750,369,477,368,436
Anna.Hudson@stud.cs.pub.ro,611,230,405,440,426,492,439
Aria.Lucas@stud.cs.pub.ro,62,483,530,590,478,439,441
Maria.Axel@stud.cs.pub.ro,382,429,349,331,433,531,496
Charlotte.Jayden@stud.cs.pub.ro,443,515,366,455,59,478,505
Nevaeh.Jordyn@stud.cs.pub.ro,366,312,424,115,508,547,506
Sarah.Samuel@stud.cs.pub.ro,273,381,259,520,384,438,471
Ellie.Julian@stud.cs.pub.ro,474,427,404,527,416,522,538
Christian.Lelani@stud.cs.pub.ro,400,513,433,454,525,461,750
,377,722,333,421,388,429,237
Isaiah.Madelyn@stud.cs.pub.ro,503,331,467,414,531,568,259
Eliana.Ethan@stud.cs.pub.ro,442,354,235,286,421,261,152
Matthew.Lila@stud.cs.pub.ro,412,293,400,235,750,594,466
Grayson.Isabella@stud.cs.pub.ro,459,520,456,74,498,515,213
Reagan.Rowan@stud.cs.pub.ro,453,357,446,453,508,98,363
Hudson.Anna@stud.cs.pub.ro,312,404,414,394,334,461,361
Allison.Max@stud.cs.pub.ro,439,419,439,384,363,452,384
Kaylee.Zane@stud.cs.pub.ro,414,644,483,513,391,312,451
Aiden.Emma@stud.cs.pub.ro,230,370,475,722,261,442,528
Jameson.Melanie@stud.cs.pub.ro,438,478,123,443,477,388,522
Amelia.Caden@stud.cs.pub.ro,277,412,322,513,421,398,381
Avery.Benjamin@stud.cs.pub.ro,388,295,441,461,591,119,553
Jasmine.Elliot@stud.cs.pub.ro,528,391,611,341,457,502,298
Natalie.Ezekiel@stud.cs.pub.ro,515,418,343,498,361,722,421
Zoe.Mason@stud.cs.pub.ro,310,237,545,444,516,425,439
Charlie.Henry@stud.cs.pub.ro,658,426,171,523,467,405,292
Hannah.Carson@stud.cs.pub.ro,322,58,535,549,441,535,357
Lillian.Christopher@stud.cs.pub.ro,295,332,370,419,353,408,412
Paisley.Ezra@stud.cs.pub.ro,360,409,545,447,541,453,322
Jack.Leah@stud.cs.pub.ro,441,412,527,441,525,322,523
Willow.Roman@stud.cs.pub.ro,334,361,591,465,432,364,384
Mackenzie.John@stud.cs.pub.ro,451,353,622,364,490,455,453
Daniel.Chloe@stud.cs.pub.ro,370,277,511,497,424,404,467
Evelyn.Logan@stud.cs.pub.ro,513,363,431,446,350,523,522
Riley.Jackson@stud.cs.pub.ro,421,523,441,230,286,523,388
Benjamin.Avery@stud.cs.pub.ro,465,381,450,405,59,341,644
,527,357,545,485,59,332,549
Colton.Ariana@stud.cs.pub.ro,440,498,525,370,451,322,340
Caden.Amelia@stud.cs.pub.ro,477,322,421,630,467,79,498
Callie.Adam@stud.cs.pub.ro,442,357,451,503,477,525,775
Ethan.Eliana@stud.cs.pub.ro,722,442,619,472,123,296,520
Cameron.Peyton@stud.cs.pub.ro,338,419,391,556,775,478,503
Jacob.Scarlett@stud.cs.pub.ro,541,796,467,292,432,213,440
Gianna.Levi@stud.cs.pub.ro,565,286,82,355,538,529,479
Aaliyah.Oliver@stud.cs.pub.ro,402,404,58,119,529,498,543
Nicholas.Hazel@stud.cs.pub.ro,432,478,451,322,432,529,603
Emilia.Isaac@stud.cs.pub.ro,507,631,520,237,274,405,492
Eleanor.Adrian@stud.cs.pub.ro,454,398,374,304,478,497,472
Madelyn.Isaiah@stud.cs.pub.ro,126,327,446,483,405,421,523
Anaya.Malachi@stud.cs.pub.ro,506,357,552,298,351,474,291
Penelope.Maverick@stud.cs.pub.ro,312,396,520,467,124,555,658
Maya.Asher@stud.cs.pub.ro,333,496,476,514,123,555,357
Peyton.Cameron@stud.cs.pub.ro,750,750,401,461,414,692,277
Ava.Elijah@stud.cs.pub.ro,226,383,82,332,277,412,392
Amaya.Hunter@stud.cs.pub.ro,250,430,523,508,439,399,542
Chloe.Daniel@stud.cs.pub.ro,327,525,245,398,291,499,590
Mia.Mateo@stud.cs.pub.ro,465,555,722,368,237,465,423
